Name,Type,State,"Profit /
Net Outstanding",Disbursed,Returned,"Dividends +
Interest",Warrants,Other Proceeds
CVB Financial,Bank (Public),CA,"$6,046,583","$130,000,000","$130,000,000","$4,739,583","$1,307,000",$0
D.C. Federal Credit Union,Bank (Community Development),DC,"-$189,965","$1,522,000","$970,900","$361,135",$0,$0
Deerfield Financial Corporation,Bank (Private),WI,"$644,339","$2,639,000","$2,639,000","$512,339","$132,000",$0
Delmar Bancorp,Bank (Private),MD,"-$2,401,669","$9,000,000","$5,453,900","$832,487","$311,944",$0
Desjardins Bank,Mortgage Servicer,FL,"-$27,643","$27,643",$0,$0,$0,$0
DeSoto County Bank,Bank (Private),MS,"$93,101","$2,681,000","$2,196,896","$577,205",$0,$0
"Diamond Bancorp, Inc.",Bank (Private),MO,"$656,616","$20,445,000","$14,780,662","$5,541,378","$779,576",$0
Dickinson Financial Corp II,Bank (Private),MO,"-$58,593,142","$146,053,000","$79,903,245","$2,631,196","$4,925,417",$0
Discover Financial Services,Financial Services Company,IL,"$239,690,844","$1,224,558,000","$1,224,558,000","$67,690,844","$172,000,000",$0
District of Columbia Housing Finance Agency,State Housing Orgs,DC,"-$24,754,860","$24,754,860",$0,$0,$0,$0
Ditech Financial LLC,Mortgage Servicer,MN,"-$299,522,567","$299,522,567",$0,$0,$0,$0
D.L. Evans Bancorp,Bank (Private),ID,"$3,795,592","$19,891,000","$19,891,000","$2,800,592","$995,000",$0
DNB Financial Corp,Bank (Public),PA,"$1,933,277","$11,750,000","$11,750,000","$1,475,277","$458,000",$0
"Duke Financial Group, Inc.",Bank (Private),MN,"$5,424,286","$12,000,000","$12,000,000","$4,824,286","$600,000",$0
DuPage Credit Union,Mortgage Servicer,IL,"-$153,997","$153,997",$0,$0,$0,$0
Eagle Bancorp,Bank (Public),MD,"$6,612,155","$38,235,000","$38,235,000","$3,817,733","$2,794,422",$0
East End Baptist Tabernacle Federal Credit Union,Bank (Community Development),CT,"$1,120","$7,000","$7,000","$1,120",$0,$0
Eastern Bank,Mortgage Servicer,MA,"-$12,916","$12,916",$0,$0,$0,$0
Eastern Virginia Bankshares,Bank (Public),VA,"$4,427,611","$24,000,000","$24,000,000","$2,220,000","$2,207,611",$0
"East West Bancorp, Inc.",Bank (Public),CA,"$46,176,420","$306,546,000","$306,546,000","$31,676,420","$14,500,000",$0
ECB Bancorp,Bank (Public),NC,"$4,647,773","$17,949,000","$17,949,000","$3,776,773","$871,000",$0
Elmira Savings Bank,Bank (Public),NY,"$2,705,867","$9,090,000","$9,090,000","$1,219,575","$1,486,292",$0
Emclaire Financial Corp,Bank (Public),PA,"$1,045,904","$7,500,000","$7,500,000","$994,791","$51,113",$0
Encore Bancshares,Bank (Public),TX,"$5,415,959","$34,000,000","$34,000,000","$4,778,888","$637,071",$0
Enterprise Financial Services Corp,Bank (Public),MO,"$7,801,933","$35,000,000","$35,000,000","$6,795,833","$1,006,100",$0
Enterprise Financial Services Group,Bank (Private),PA,"$680,205","$4,000,000","$4,000,000","$480,205","$200,000",$0
Episcopal Community Federal Credit Union,Bank (Community Development),CA,"$15,067","$100,000","$100,000","$15,067",$0,$0
Equity Bancshares,Bank (Private),KS,"$2,688,457","$8,750,000","$8,750,000","$2,250,457","$438,000",$0
"EQUITY BANCSHARES, INC. (FIRST COMMUNITY BANCSHARES, INC. (KS))",Bank (Private),KS,"$1,793,061","$14,800,000","$14,800,000","$1,053,061","$740,000",$0
Exchange Bank,Bank (Private),CA,"$4,294,527","$43,000,000","$37,259,393","$7,980,919","$2,054,215",$0
Fairfax County Federal Credit Union,Bank (Community Development),VA,"$1,121,244","$8,044,000","$8,044,000","$1,121,244",$0,$0
Faith Based Federal Credit Union,Bank (Community Development),CA,"$2,934","$30,000","$30,000","$2,934",$0,$0
Fannie Mae,Government-Sponsored Enterprise,DC,"$61,489,000,000","$119,836,000,000",$0,"$181,325,000,000",$0,$0
Farmers Bank,Bank (Private),VA,"$2,644,203","$8,752,000","$8,752,000","$2,206,203","$438,000",$0
Farmers Capital Bank Corp,Bank (Public),KY,"-$3,164,171","$30,000,000","$21,594,229","$5,166,600","$75,000",$0
"Farmers Enterprises, Inc.",Bank (Private),KS,"$3,698,747","$12,000,000","$11,665,092","$3,423,094","$610,561",$0
Farmers & Merchants Financial Corp,Bank (Private),KS,"$58,200","$442,000","$400,425","$102,610","-$2,835",$0
Farmers State Bancshares,Bank (Private),KS,"$130,174","$700,000","$700,000","$90,174","$40,000",$0
"Fay Servicing, LLC",Mortgage Servicer,IL,"-$105,196,506","$105,196,506",$0,$0,$0,$0
FBHC Holding Company,Bank (Private),CO,"-$2,230,408","$3,035,000","$650,000","$154,592",$0,$0
"F & C Bancorp, Inc.",Bank (Private),MO,"$930,566","$2,993,000","$2,897,231","$872,775","$153,560",$0
FCB Bancorp,Bank (Private),KY,"$1,862,235","$9,294,000","$9,294,000","$1,397,235","$465,000",$0
FC Holdings,Bank (Private),TX,"-$1,205,370","$21,042,000","$18,685,927","$156,090","$994,613",$0
"FCI Lender Services, Inc.",Mortgage Servicer,CA,"-$525,153","$525,153",$0,$0,$0,$0
FFW Corp,Bank (Private),IN,"$1,152,840","$7,289,000","$6,515,426","$1,567,856","$358,558",$0
FHA Refinance Program Fund,FHA Refinance Fund,DC,"-$20,000,000","$20,000,000",$0,$0,$0,$0
Fidelis Federal Credit Union,Bank (Community Development),NY,"$1,412","$14,000","$14,000","$1,412",$0,$0
"Fidelity Bancorp, Inc.",Bank (Public),PA,"$1,388,333","$7,000,000","$7,000,000","$1,388,333",$0,$0
"Fidelity Bancorp, Inc (LA)",Bank (Private),LA,"$1,462,924","$3,942,000","$3,942,000","$1,265,924","$197,000",$0
Fidelity Bank,Mortgage Servicer,LA,"-$147,479","$147,479",$0,$0,$0,$0
Fidelity Federal Bancorp,Bank (Private),IN,"$563,909","$6,657,000","$6,657,000",$0,"$242,303","$321,606"
Fidelity Financial Corp,Bank (Private),KS,"$4,684,780","$36,282,000","$32,013,328","$7,228,349","$1,725,103",$0
Fidelity Resources Company,Bank (Private),TX,"$503,795","$3,000,000","$3,000,000","$353,795","$150,000",$0
Fidelity Southern Corp,Bank (Public),GA,"$35,488,022","$48,200,000","$42,757,786","$8,528,882","$32,401,354",$0
Fifth Third Bancorp,Bank (Public),OH,"$593,372,603","$3,408,000,000","$3,408,000,000","$313,346,667","$280,025,936",$0
Fifth Third Bank,Mortgage Servicer,OH,$0,$0,$0,$0,$0,$0
Financial Institutions,Bank (Public),NY,"$6,258,719","$37,515,000","$37,515,000","$4,178,756","$2,079,963",$0
Financial Security Corp,Bank (Private),WY,"$914,597","$5,000,000","$5,000,000","$664,597","$250,000",$0
"Financial Services of Winger, Inc.",Bank (Private),MN,"$745,324","$3,742,000","$3,742,000","$633,324","$112,000",$0
First Advantage Bancshares Inc.,Bank (Private),MN,"$151,320","$1,177,000","$1,046,621","$227,944","$53,755",$0
First Alliance Bancshares,Bank (Private),TN,"-$418,323","$3,422,000","$2,370,742","$538,233","$94,702",$0
First American Bank Corporation,Bank (Private),IL,"$15,558,531","$50,000,000","$50,000,000","$13,058,531","$2,500,000",$0
First American International Corp,Bank (Community Development),NY,"$4,029,642","$17,000,000","$17,000,000","$4,029,642",$0,$0
First Bancorp,Bank (Public),NC,"$9,518,906","$65,000,000","$65,000,000","$8,594,444","$924,462",$0
First BanCorp,Bank (Public),PR,"-$187,090,813","$424,174,000","$198,381,695","$32,999,386","$5,702,106",$0
First BancTrust Corp,Bank (Private),IL,"$1,658,951","$7,350,000","$7,350,000","$1,290,951","$368,000",$0
First Bank,Mortgage Servicer,MO,"-$7,626,247","$7,626,247",$0,$0,$0,$0
Firstbank Corp,Bank (Public),MI,"$5,185,560","$33,000,000","$30,587,530","$5,651,360","$1,946,670",$0
First Bankers Trustshares,Bank (Private),IL,"$1,941,221","$10,000,000","$10,000,000","$1,441,221","$500,000",$0
First Bank of Charleston,Bank (Private),WV,"$615,105","$3,345,000","$3,345,000","$448,105","$167,000",$0
"First Banks, Inc.",Bank (Private),MO,"-$175,186,740","$295,400,000","$105,742,353","$6,037,237","$8,433,670",$0
First Busey Corporation,Bank (Public),IL,"$12,410,898","$100,000,000","$100,000,000","$12,347,221","$63,677",$0
First California Financial Group,Bank (Public),CA,"$3,810,847","$25,000,000","$25,000,000","$3,211,805","$599,042",$0
First Capital Bancorp,Bank (Public),VA,"$998,713","$10,958,000","$9,931,327","$1,759,344","$266,042",$0
First Choice Bank,Bank (Private),CA,"$678,521","$5,146,000","$5,146,000","$568,521","$110,000",$0
First Citizens Banc Corp,Bank (Public),OH,"$2,061,684","$23,184,000","$20,689,633","$3,992,877","$563,174",$0
First Citizens Bank & Trust Company,Mortgage Servicer,NC,"-$43,150","$43,150",$0,$0,$0,$0
First Colebrook Bancorp,Bank (Private),NH,"$839,489","$4,500,000","$4,500,000","$614,489","$225,000",$0
First Community Bancshares,Bank (Public),VA,"$1,339,002","$41,500,000","$41,500,000","$1,308,402","$30,600",$0
First Community Bank Corp of America,Bank (Public),FL,"-$2,185,751","$10,685,000","$7,754,267","$744,982",$0,$0
First Community Corp,Bank (Public),SC,"$2,075,979","$11,350,000","$10,987,794","$2,140,685","$297,500",$0
"First Community Financial Partners, Inc.",Bank (Private),IL,"-$3,747,521","$22,000,000","$14,211,450","$3,320,655","$720,374",$0
First Defiance Financial Corp,Bank (Public),OH,"$16,610,301","$37,000,000","$35,084,144","$6,546,862","$11,979,295",$0
"First Eagle Bancshares, Inc.",Bank (Private),IL,"$2,362,845","$7,875,000","$7,875,000","$1,987,845","$375,000",$0
First Express of Nebraska,Bank (Private),NE,"$1,074,313","$5,000,000","$5,000,000","$824,313","$250,000",$0
First Federal Bancshares of Arkansas,Bank (Public),AR,"-$9,929,375","$16,500,000","$6,000,000","$570,625",$0,$0
First Federal Bank of Florida,Mortgage Servicer,FL,$0,$0,$0,$0,$0,$0
First Financial Bancorp,Bank (Public),OH,"$7,644,065","$80,000,000","$80,000,000","$4,677,777","$2,966,288",$0
First Financial Bancshares,Bank (Private),KS,"$807,302","$3,756,000","$3,756,000","$694,302","$113,000",$0
First Financial Bank,Mortgage Servicer,IN,"-$5,000","$5,000",$0,$0,$0,$0
First Financial Bank N.A.,Mortgage Servicer,ID,"-$12,750","$12,750",$0,$0,$0,$0
First Financial Holdings,Bank (Public),SC,"$3,141,972","$65,000,000","$55,926,478","$10,815,494","$1,400,000",$0
First Financial Service Corp,Bank (Public),KY,"-$7,663,722","$20,000,000","$10,733,778","$1,600,000","$2,500",$0
"First Freedom Bancshares, Inc.",Bank (Private),TN,"$929,360","$8,700,000","$8,047,022","$1,320,738","$261,600",$0
First Gothenburg Bancshares,Bank (Private),NE,"$1,044,884","$7,570,000","$6,822,136","$1,430,629","$362,119",$0
"First Guaranty Bancshares, Inc.",Bank (Private),LA,"$3,360,477","$20,699,000","$20,699,000","$2,330,477","$1,030,000",$0
First Horizon Bank,Mortgage Servicer,TN,"-$131,853","$131,853",$0,$0,$0,$0
First Horizon National,Bank (Public),TN,"$170,927,405","$866,540,000","$866,540,000","$91,227,405","$79,700,000",$0
First Independence Corporation,Bank (Community Development),MI,"-$402,739","$3,223,000","$2,286,675","$533,586",$0,$0
First Intercontinental Bank,Bank (Private),GA,"-$2,229,115","$6,398,000","$3,247,112","$757,453","$164,320",$0
First Keystone Bank,Mortgage Servicer,PA,"-$14,916","$14,916",$0,$0,$0,$0
First Legacy Community Credit Union,Bank (Community Development),NC,"$70,167","$1,000,000","$1,000,000","$70,167",$0,$0
First Litchfield Financial Corp,Bank (Public),CT,"$2,147,768","$10,000,000","$10,000,000","$659,722","$1,488,046",$0
First Manitowoc Bancorp,Bank (Private),WI,"$837,983","$12,000,000","$12,000,000","$237,983","$600,000",$0
First Menasha Bancshares,Bank (Private),WI,"$916,867","$4,797,000","$4,797,000","$676,867","$240,000",$0
First Merchants Bank,Mortgage Servicer,IN,"-$5,178","$5,178",$0,$0,$0,$0
First Merchants Corp,Bank (Public),IN,"$15,383,055","$116,000,000","$116,000,000","$15,015,555","$367,500",$0
FirstMerit Corp,Bank (Public),OH,"$6,813,194","$125,000,000","$125,000,000","$1,788,194","$5,025,000",$0
First M&F Corp,Bank (Public),MS,"$8,224,510","$30,000,000","$30,000,000","$4,135,000","$4,089,510",$0
First Midwest Bancorp,Bank (Public),IL,"$29,528,332","$193,000,000","$193,000,000","$28,628,332","$900,000",$0
First Mortgage Corporation,Mortgage Servicer,CA,"-$6,916","$6,916",$0,$0,$0,$0
First National Bank of Pennsylvania,Mortgage Servicer,PA,"-$13,036","$13,036",$0,$0,$0,$0
First National Corporation,Bank (Private),VA,"$1,429,331","$13,900,000","$12,082,749","$2,621,907","$624,675",$0
First NBC Bank Holding Company,Bank (Private),LA,"$3,197,989","$17,836,000","$17,836,000","$2,305,989","$892,000",$0
First Niagara,Bank (Public),NY,"$7,453,618","$184,011,000","$184,011,000","$4,753,618","$2,700,000",$0
First Northern Community Bancorp,Bank (Public),CA,"$2,553,580","$17,390,000","$17,390,000","$2,178,580","$375,000",$0
"First PacTrust Bancorp, Inc.",Bank (Public),CA,"$2,997,560","$19,300,000","$19,300,000","$1,994,333","$1,003,227",$0
First Place Financial Corp,Bank (Public),OH,"-$65,917,905","$72,927,000",$0,"$7,009,095",$0,$0
First Priority Financial Corp,Bank (Private),PA,"$773,070","$9,175,000","$8,012,094","$1,711,259","$224,717",$0
First Reliance Bancshares,Bank (Private),SC,"-$2,354,941","$15,349,000","$10,327,021","$2,042,406","$624,632",$0
First Resource Bank,Bank (Private),PA,"$714,794","$5,017,000","$5,017,000","$584,794","$130,000",$0
First Security Group,Bank (Public),TN,"-$16,684,638","$33,000,000","$14,912,862","$1,402,500",$0,$0
First Sound Bank,Bank (Public),WA,"-$3,369,056","$7,400,000","$3,700,000","$330,944",$0,$0
"First South Bancorp, Inc.",Bank (Private),TN,"$15,432,452","$50,000,000","$50,000,000","$12,932,452","$2,500,000",$0
First Southern Bancorp,Bank (Private),FL,"$1,363,468","$10,900,000","$10,900,000","$818,468","$545,000",$0
First Southwest Bancorporation,Bank (Private),CO,"-$140,227","$5,500,000","$4,900,609","$207,327","$251,837",$0
First State Bank,Mortgage Servicer,IL,"-$26,000","$26,000",$0,$0,$0,$0
First State Bank of Mobeetie,Bank (Private),TX,"$82,086","$731,000","$731,000","$45,086","$37,000",$0
First Texas BHC,Bank (Private),TX,"$2,539,389","$13,533,000","$13,533,000","$1,862,389","$677,000",$0
First Trust Corporation,Bank (Private),LA,"-$2,664,820","$17,969,000","$13,612,558","$1,046,896","$644,726",$0
First ULB Corp,Bank (Private),CA,"$311,020","$4,900,000","$4,900,000","$66,020","$245,000",$0
First United Corp,Bank (Public),MD,"$10,487,948","$30,000,000","$30,000,000","$10,306,862","$181,086",$0
First Vernon Bancshares,Bank (Private),AL,"$946,293","$6,245,000","$5,745,400","$1,200,893","$245,000",$0
First Western Financial,Bank (Private),CO,"$702,315","$20,440,000","$17,022,298","$3,768,965","$351,052",$0
Flagstar Bancorp,Bank (Public),MI,"$11,204,056","$266,657,000","$240,627,277","$37,220,874","$12,905",$0
Flagstar Capital Markets Corporation,Mortgage Servicer,MI,"-$1,299,984","$1,299,984",$0,$0,$0,$0
"Florida Bank Group, Inc.",Bank (Private),FL,"-$11,290,207","$20,471,000","$8,000,000","$1,180,793",$0,$0
Florida Business BancGroup,Bank (Private),FL,"$1,814,751","$9,495,000","$9,495,000","$1,339,751","$475,000",$0
"Florida Community Bank, NA",Mortgage Servicer,FL,"-$44,460","$44,460",$0,$0,$0,$0
Florida Housing Finance Corporation,State Housing Orgs,FL,"-$1,136,616,680","$1,136,616,680",$0,$0,$0,$0
Flushing Financial Corp,Bank (Public),NY,"$3,904,166","$70,000,000","$70,000,000","$3,004,166","$900,000",$0
F&M Bancshares,Bank (Private),TN,"$1,261,391","$8,144,000","$7,598,963","$1,584,420","$222,008",$0
F&M Financial Corporation,Bank (Private),NC,"$3,119,745","$17,000,000","$15,988,500","$3,355,971","$775,274",$0
F&M Financial Corporation (TN),Bank (Private),TN,"$330,766","$17,243,000","$13,443,073","$3,388,252","$742,441",$0
FNB Bancorp,Bank (Private),CA,"$2,267,700","$12,000,000","$12,000,000","$1,667,700","$600,000",$0
F.N.B. Corporation,Bank (Public),PA,"$4,023,433","$100,000,000","$100,000,000","$3,333,333","$690,100",$0
FNB United Corp,Bank (Public),NC,"-$38,750,089","$51,500,000","$10,149,929","$2,589,305","$10,677",$0
"FNF Servicing, Inc",Mortgage Servicer,VA,"-$3,578,915","$3,578,915",$0,$0,$0,$0
"Foresight Financial Group, Inc.",Bank (Private),IL,"$3,670,292","$15,000,000","$15,000,000","$2,920,292","$750,000",$0
Fort Lee Federal Savings Bank,Bank (Private),NJ,"-$1,212,816","$1,300,000",$0,"$87,184",$0,$0
Fortune Financial Corporation,Bank (Private),MO,"$568,929","$3,100,000","$3,100,000","$413,929","$155,000",$0
FPB Bancorp,Bank (Public),FL,"-$5,526,112","$5,800,000",$0,"$273,888",$0,$0
FPB Financial Corp,Bank (Public),LA,"$383,721","$3,240,000","$3,240,000","$221,721","$162,000",$0
"Franklin Bancorp, Inc.",Bank (Private),MO,"-$677,129","$5,097,000","$3,253,899","$965,344","$200,628",$0
Franklin Credit Management Corporation,Mortgage Servicer,NJ,"-$1,744,102","$1,744,102",$0,$0,$0,$0
Franklin Savings,Mortgage Servicer,OH,"-$9,614","$9,614",$0,$0,$0,$0
Freddie Mac,Government-Sponsored Enterprise,VA,"$48,033,000,000","$71,648,000,000",$0,"$119,681,000,000",$0,$0
Freedom First Federal Credit Union,Bank (Community Development),VA,"$501,527","$9,278,000","$9,278,000","$501,527",$0,$0
Freedom Mortgage Corporation,Mortgage Servicer,IN,"-$213,160","$213,160",$0,$0,$0,$0
Freeport Bancshares,Bank (Private),IL,"$1,393,492","$3,000,000","$3,000,000","$1,241,721","$151,771",$0
Fremont Bancorporation,Bank (Private),CA,"$10,796,066","$35,000,000","$35,000,000","$9,046,066","$1,750,000",$0
Fresno First Bank,Bank (Private),CA,"$469,100","$1,968,000","$1,968,000","$371,100","$98,000",$0
Frontier Bancshares,Bank (Private),TX,"$408,191","$3,000,000","$3,000,000","$258,191","$150,000",$0
Fulton Financial Corp,Bank (Public),PA,"$40,135,625","$376,500,000","$376,500,000","$29,335,625","$10,800,000",$0
Gateway Bancshares,Bank (Private),GA,"$1,260,795","$6,000,000","$6,000,000","$960,795","$300,000",$0
Gateway Community Federal Credit Union,Bank (Community Development),MT,"$62,690","$1,657,000","$1,657,000","$62,690",$0,$0
"Gateway Mortgage Group, LLC",Mortgage Servicer,OK,$0,$0,$0,$0,$0,$0
General Motors,Auto Company,MI,"-$11,308,238,095","$50,744,648,329","$38,742,249,633","$694,160,600",$0,$0
Genesee Co-op Federal Credit Union,Bank (Community Development),NY,"$16,667","$300,000","$279,000","$37,667",$0,$0
Georgia Commerce Bancshares,Bank (Private),GA,"$1,385,366","$8,700,000","$8,700,000","$950,366","$435,000",$0
Georgia Housing & Finance Authority DBA State Home Mortgage,Mortgage Servicer,GA,"-$5,500","$5,500",$0,$0,$0,$0
Georgia Primary Bank,Bank (Private),GA,"-$2,873,543","$4,500,000","$1,556,145",$0,"$70,312",$0
Germantown Capital Corporation,Bank (Private),TN,"$674,940","$4,967,000","$4,495,616","$931,729","$214,595",$0
"GHFA Affordable Housing, Inc.",State Housing Orgs,GA,"-$370,574,260","$370,574,260",$0,$0,$0,$0
"GITSIT Solutions, LLC",Mortgage Servicer,CA,"-$481,811","$481,811",$0,$0,$0,$0
Glass City Federal Credit Union,Mortgage Servicer,OH,"-$12,473","$12,473",$0,$0,$0,$0
"GMAC Mortgage, LLC",Mortgage Servicer,PA,"-$309,559,668","$309,559,668",$0,$0,$0,$0
GMAC (now Ally Financial),Financial Services Company,MI,"$3,057,502,589","$16,290,000,000","$15,667,608,832","$3,679,893,757",$0,$0
"GM Supplier Receivables, LLC",Auto Company (Parts Supplier),DC,"$65,403,673","$290,000,000","$290,000,000","$65,403,673",$0,$0
Gold Canyon Bank,Bank (Private),AZ,"-$1,553,141","$1,607,000",$0,"$53,859",$0,$0
Goldman Sachs,Bank (Public),NY,"$1,418,055,555","$10,000,000,000","$10,000,000,000","$318,055,555","$1,100,000,000",$0
Goldwater Bank,Bank (Private),AZ,"-$1,074,250","$2,568,000","$1,348,000","$145,750",$0,$0
Grand Capital Corporation,Bank (Private),OK,"$717,145","$4,000,000","$4,000,000","$517,145","$200,000",$0
Grand Financial Corporation,Bank (Private),MS,"$1,425,153","$2,443,320","$2,443,320","$1,303,153","$122,000",$0
"Grand Mountain Bancshares, Inc.",Bank (Private),CO,"$852,001","$3,076,000","$3,076,000",$0,"$852,001",$0
Grandsouth Bancorporation,Bank (Private),SC,"$2,306,918","$15,319,000","$15,319,000","$1,856,918","$450,000",$0
Greater Kinston Credit Union,Bank (Community Development),NC,"$10,714","$350,000","$350,000","$10,714",$0,$0
"Greater Nevada LLC, dba Greater Nevada Mortgage",Mortgage Servicer,NV,"-$902,097","$902,097",$0,$0,$0,$0
Great Lakes Credit Union,Mortgage Servicer,IL,"-$170,350","$170,350",$0,$0,$0,$0
Great River Holding Company,Bank (Private),MN,"$2,380,775","$8,400,000","$8,400,000","$759,575","$1,621,200",$0
Great Southern Bancorp,Bank (Public),MO,"$14,274,419","$58,000,000","$58,000,000","$7,838,055","$6,436,364",$0
Green Bankshares,Bank (Public),TN,"$2,364,857","$72,278,000","$68,700,000","$5,942,857",$0,$0
Green Circle Investments,Bank (Private),IA,"$636,022","$2,400,000","$2,400,000","$516,022","$120,000",$0
Green City Bancshares,Bank (Private),MO,"$82,037","$651,000","$651,000","$49,037","$33,000",$0
Greer Bancshares,Bank (Private),SC,"$3,700,112","$9,993,000","$9,993,000","$3,200,112","$500,000",$0
Gregg Bancshares,Bank (Private),MO,"-$779,810","$825,000",$0,"$45,190",$0,$0
Gregory Funding LLC,Mortgage Servicer,OR,"-$9,534,233","$9,534,233",$0,$0,$0,$0
Guaranty Bancorp,Bank (Private),NH,"$1,315,040","$6,920,000","$6,920,000","$969,040","$346,000",$0
Guaranty Bank,Mortgage Servicer,MN,"-$1,916","$1,916",$0,$0,$0,$0
Guaranty Capital Corporation,Bank (Community Development),MS,"$3,687,282","$14,000,000","$14,000,000","$3,687,282",$0,$0
Guaranty Federal Bancshares,Bank (Public),MO,"$4,887,871","$17,000,000","$16,493,900","$3,390,721","$2,003,250",$0
"Guardian Mortgage, a division of Sunflower Bank, N.A.",Mortgage Servicer,TX,"-$93,546","$93,546",$0,$0,$0,$0
GulfSouth Private Bank,Bank (Private),FL,"-$6,818,689","$7,500,000",$0,"$681,311",$0,$0
Gulfstream Bancshares,Bank (Private),FL,"$1,251,543","$7,500,000","$7,500,000","$876,543","$375,000",$0
Hamilton State Bancshares,Bank (Private),GA,"$1,169,166","$7,000,000","$7,000,000","$819,166","$350,000",$0
Hampton Roads Bankshares,Bank (Public),VA,"-$72,885,392","$80,347,000","$3,279,764","$2,510,844","$1,671,000",$0
Harbor Bankshares Corporation,Bank (Community Development),MD,"-$4,445,501","$6,800,000","$2,071,755","$282,744",$0,$0
Hartford Financial Services,Insurance Company,CT,"$814,403,447","$3,400,000,000","$3,400,000,000","$108,138,888","$706,264,559",$0
Hartford Savings Bank,Mortgage Servicer,WI,$0,$0,$0,$0,$0,$0
Haviland Bancshares,Bank (Private),KS,"$62,524","$425,000","$425,000","$41,524","$21,000",$0
Hawthorn Bancshares,Bank (Public),MO,"$6,594,509","$30,255,000","$30,255,000","$6,054,509","$540,000",$0
HCSB Financial Corporation,Bank (Public),SC,"-$11,675,348","$12,895,000","$128,950","$1,090,702",$0,$0
"Heartland Bancshares, Inc.",Bank (Private),IN,"$1,321,471","$7,000,000","$7,000,000","$1,073,471","$248,000",$0
Heartland Bank & Trust Company,Mortgage Servicer,IL,"-$142,673","$142,673",$0,$0,$0,$0
Heartland Financial USA,Bank (Public),IA,"$12,988,086","$81,698,000","$81,698,000","$11,188,086","$1,800,000",$0
"Heritage Bankshares, Inc.",Bank (Private),VA,"$1,250,284","$10,103,000","$10,103,000","$947,284","$303,000",$0
Heritage Commerce Corp,Bank (Public),CA,"$6,901,266","$40,000,000","$40,000,000","$6,761,266","$140,000",$0
Heritage Financial Corp,Bank (Public),WA,"$2,953,333","$24,000,000","$24,000,000","$2,503,333","$450,000",$0
Heritage Oaks Bancorp,Bank (Public),CA,"$6,241,335","$21,000,000","$21,000,000","$4,666,335","$1,575,000",$0
HF Financial Corp,Bank (Public),SD,"$1,316,666","$25,000,000","$25,000,000","$666,666","$650,000",$0
Highlands Independent Bancshares,Bank (Private),FL,"-$534,688","$6,700,000","$5,547,600","$617,712",$0,$0
Highlands State Bank,Bank (Private),NJ,"$761,927","$5,450,000","$5,450,000","$606,927","$155,000",$0
Hill District Federal Credit Union,Bank (Community Development),PA,"$13,650","$100,000","$100,000","$13,650",$0,$0
Hillsdale County National Bank,Mortgage Servicer,MI,"-$382,908","$382,908",$0,$0,$0,$0
Hilltop Community Bancorp,Bank (Private),NJ,"$467,049","$4,000,000","$4,000,000","$267,049","$200,000",$0
HMN Financial,Bank (Public),MN,"$734,787","$26,000,000","$18,571,410","$2,462,777","$5,700,600",$0
"Home BancShares, Inc.",Bank (Public),AR,"$7,480,555","$50,000,000","$50,000,000","$6,180,555","$1,300,000",$0
HomEq Servicing,Mortgage Servicer,CA,"-$8,308,819","$8,308,819",$0,$0,$0,$0
"Home Servicing, LLC",Mortgage Servicer,LA,"-$78,158","$78,158",$0,$0,$0,$0
HomeStar Bank & Financial Services,Mortgage Servicer,IL,"-$13,322","$13,322",$0,$0,$0,$0
Hometown Bancorp of Alabama,Bank (Private),AL,"$964,208","$3,250,000","$3,250,000","$801,208","$163,000",$0
Hometown Bancshares,Bank (Private),KY,"$329,804","$1,900,000","$1,766,510","$393,199","$70,095",$0
HomeTown Bankshares Corporation,Bank (Private),VA,"$998,306","$10,000,000","$9,093,150","$1,589,694","$315,462",$0
"Homeward Residential, Inc.",Mortgage Servicer,TX,"-$280,486,273","$280,486,273",$0,$0,$0,$0
Hope Federal Credit Union,Bank (Community Development),MS,"$953,720","$4,520,000","$4,520,000","$953,720",$0,$0
HopFed Bancorp,Bank (Public),KY,"$3,954,146","$18,400,000","$18,400,000","$3,697,889","$256,257",$0
Horicon Bank,Mortgage Servicer,WI,"-$67,385","$67,385",$0,$0,$0,$0
Horizon Bancorp,Bank (Public),IN,"$4,857,322","$25,000,000","$25,000,000","$3,106,771","$1,750,551",$0
"Horizon Bank, NA",Mortgage Servicer,IN,$0,$0,$0,$0,$0,$0
Howard Bancorp,Bank (Private),MD,"$1,136,793","$5,983,000","$5,983,000","$837,793","$299,000",$0
HPK Financial Corporation,Bank (Private),IL,"$1,940,554","$9,000,000","$9,000,000","$1,596,554","$344,000",$0
Huntington Bancshares,Bank (Public),OH,"$196,285,810","$1,398,071,000","$1,398,071,000","$147,185,810","$49,100,000",$0
Hyperion Bank,Bank (Private),PA,"-$214,834","$1,552,000","$983,800","$327,666","$25,700",$0
"IA Bancorp, Inc.",Bank (Private),NJ,"$991,741","$5,976,000","$5,863,113","$916,230","$188,397",$0
"IBC Bancorp, Inc.",Bank (Community Development),IL,"$2,323,935","$8,086,000","$8,086,000","$2,323,935",$0,$0
Iberiabank,Mortgage Servicer,FL,"-$25,502","$25,502",$0,$0,$0,$0
IBERIABANK Corp,Bank (Public),LA,"$2,650,000","$90,000,000","$90,000,000","$1,450,000","$1,200,000",$0
IBT Bancorp,Bank (Private),TX,"$641,463","$2,295,000","$2,295,000","$526,463","$115,000",$0
