	a1_cantPayHou	a2_cantPayHou	a3_cantPayHou	a4_cantPayHou	a5_cantPayHou	a6_cantPayHou	a7_cantPayHou	a8_cantPayHou	a9_cantPayHou	a10_cantPayHou	a1_demandsInterfere	a2_demandsInterfere	a3_demandsInterfere	a4_demandsInterfere	a5_demandsInterfere	a6_demandsInterfere	a7_demandsInterfere	a8_demandsInterfere	a9_demandsInterfere	a10_demandsInterfere	a1_health	a2_health	a3_health	a4_health	a5_health	a6_health	a7_health	a8_health	a9_health	a10_health	a1_lifSts	a2_lifSts	a3_lifSts	a4_lifSts	a5_lifSts	a6_lifSts	a7_lifSts	a8_lifSts	a9_lifSts	a10_lifSts	a1_hap	a2_hap	a3_hap	a4_hap	a5_hap	a6_hap	a7_hap	a8_hap	a9_hap	a10_hap	a1_wrkSchSts	a2_wrkSchSts	a3_wrkSchSts	a4_wrkSchSts	a5_wrkSchSts	a6_wrkSchSts	a7_wrkSchSts	a8_wrkSchSts	a9_wrkSchSts	a10_wrkSchSts	a1_fewMorHrs	a2_fewMorHrs	a3_fewMorHrs	a4_fewMorHrs	a5_fewMorHrs	a6_fewMorHrs	a7_fewMorHrs	a8_fewMorHrs	a9_fewMorHrs	a10_fewMorHrs
sOnCall			0.12870***	0.12738***	0.10886***	0.10990***	0.13205***	0.09975***	0.09940***	0.08508***			0.32368***	0.31448***	0.26002***	0.25758***	0.12522	0.24147***	0.24852***	0.22688***			0.21867***	0.23507***	0.22179***	0.00000	0.27332***	0.22702***	0.23189***	0.21572***			0.31466***	0.34985***	0.38411***	0.21311**	0.53283***	0.33225***	0.33823***	0.35411**			0.57184***	0.60802***	0.68021***	0.45655***	0.65360***	0.63027***	0.64239***	0.58800***			-0.10112	-0.07634	-0.00745	-0.09528	0.29823	0.00565	0.01144	0.14848			0.01999	0.01287	0.00000***	0.00000***	-0.00000	-0.00000***	-0.00000	-0.00000
sExtraHrsMandat			0.13827***	0.13823***	0.12933***	0.12624***	0.13722***	0.13648***	0.13617***	0.14667***			0.58555***	0.58325***	0.55284***	0.53837***	0.52809***	0.54307***	0.53432***	0.48687***			0.03418	0.02864	0.02231	0.00000***	-0.06719	-0.00835	-0.01220	0.00996			-0.19473*	-0.19819*	-0.18369*	-0.18372*	-0.13431	-0.22496**	-0.23196**	-0.19483			-0.22963*	-0.23884**	-0.21306*	-0.21553*	-0.26410	-0.26934**	-0.28144**	-0.30561**			-0.56345***	-0.56323***	-0.50622***	-0.53196***	-0.66046***	-0.56594***	-0.57103***	-0.59562***			-0.07409**	-0.07142**	0.00000	0.00000	-0.00000	-0.00000***	-0.00000	-0.00000
sStartFinSetByEmp			0.03585**	0.03691**	0.03560**	0.03240*	0.00198	0.03620**	0.03311*	0.05155**			0.23289***	0.23261***	0.23188***	0.21252***	0.12845	0.25015***	0.23875***	0.25914***			0.03993	0.03758	0.03811	0.00000**	0.06120	0.06325	0.06104	0.04427			-0.13196	-0.13784	-0.12998	-0.14363	0.03979	-0.11856	-0.12173	-0.24624*			-0.07917	-0.09260	-0.07574	-0.08656	0.04524	-0.08662	-0.08501	-0.21854			-0.33281***	-0.33767***	-0.34526***	-0.35587***	-0.08955	-0.31560***	-0.33065***	-0.48040***			0.05283*	0.05300*	0.00000	0.00000	0.00000	-0.00000***	-0.00000	-0.00000
sSetInAdv24hr			0.14421***	0.13727***	0.12911***	0.12472***	0.10050**	0.12135***	0.12074***	0.11780***			0.37535***	0.35634***	0.33248***	0.32060***	0.15089	0.35216***	0.33695***	0.24843**			0.11208	0.12191*	0.11888*	0.00000	0.03176	0.10811	0.10111	0.06615			-0.00025	0.05871	0.08110	-0.01171	0.05355	0.02829	-0.00196	0.14487			0.23581	0.31120	0.34717*	0.22804	0.22159	0.34583*	0.29972	0.11678			-0.20452	-0.15196	-0.11618	-0.20787	-0.11057	-0.17637	-0.21194	-0.27454			-0.00391	-0.00282	0.00000*	0.00000*	0.00000	0.00000	0.00000***	0.00000
sIrregularShift			-0.01496	-0.01542	-0.01955	-0.02164	0.00356	-0.02370	-0.02480	-0.00842			0.29309***	0.28608***	0.27006***	0.25998***	0.00358	0.20285***	0.22516***	0.20625**			-0.17207***	-0.13930**	-0.13815**	-0.00000***	-0.21939**	-0.17210***	-0.15978***	-0.14624**			-0.65405***	-0.58354***	-0.56654***	-0.44112***	-0.71020**	-0.63604***	-0.60865***	-0.50248**			-0.59967***	-0.49294***	-0.47192***	-0.30634**	-0.34590	-0.51067***	-0.46933***	-0.42498**			-1.04393***	-0.99423***	-0.95000***	-0.87890***	-0.64865**	-0.91519***	-0.91045***	-1.07943***			-0.05738	-0.06626	-0.00000	-0.00000	-0.00000	-0.00000***	-0.00000	0.00000
mostMinusLeastHrs				-0.00136	-0.00102	-0.00120	-0.00265	-0.00139	-0.00131	-0.00057				-0.00101	0.00032	-0.00020	-0.00330	0.00188	0.00184	0.00550				-0.01062***	-0.01069***	0.00000***	-0.01298***	-0.00903***	-0.00916***	-0.00809**				-0.00799	-0.00937	-0.00078	0.00357	-0.01086	-0.01094	-0.01902**				-0.01186	-0.01343*	-0.00161	-0.01023	-0.01507*	-0.01558*	-0.03253***				-0.00204	-0.00564	-0.00104	-0.00792	-0.00399	-0.00382	-0.01652				0.00530**	-0.00000*	-0.00000**	0.00000*	0.00000	0.00000***	-0.00000
mostMinusLea2				0.00003	0.00002	0.00002	0.00002	0.00003	0.00003	0.00003				0.00005	0.00002	0.00003	0.00008	0.00000	0.00001	-0.00005				0.00009**	0.00009**	-0.00000***	0.00010	0.00007*	0.00007*	0.00006				-0.00007	-0.00005	-0.00011	-0.00015	-0.00002	-0.00002	0.00013				-0.00009	-0.00005	-0.00015	-0.00010	-0.00003	-0.00001	0.00025				-0.00011	-0.00006	-0.00009	-0.00009	-0.00007	-0.00006	0.00012				-0.00006*	0.00000**	0.00000**	-0.00000**	-0.00000*	-0.00000**	0.00000
fewer hrs for less inc					0.19137***	0.19258***	0.18125***	0.19023***							0.62613***	0.62363***	0.92758***	0.67276***							0.14607*	0.00000***	0.19055	0.13549*							-0.27548	-0.37320**	0.15910	-0.33883*							-0.58901***	-0.73113***	-0.15885	-0.63722***							-1.00092***	-1.06720***	-0.58520*	-1.02134***							-1.00000***	-1.00000***	-1.00000***	-1.00000***		
more hrs more inc					0.10504***	0.10636***	0.08274***	0.10303***							0.22877***	0.23189***	0.25652**	0.25774***							0.10237**	0.00000***	0.07797	0.09578**							-0.19365*	-0.27032***	-0.01984	-0.18727*							-0.40757***	-0.51485***	-0.35682	-0.40074***							-0.15159	-0.19894*	0.02974	-0.10412							1.00000***	1.00000***	1.00000***	1.00000***		
Excellent						0.00000										0.00000										0.00000										0.00000										0.00000										0.00000										0.00000				
Fair						0.02071										0.05348										-3.00000***										-2.57108***										-3.23816***										-1.40680***										0.00000*				
Good						-0.02558										-0.22352***										-2.00000***										-1.24064***										-1.71443***										-0.90089***										0.00000**				
Poor						0.11869										0.50132**										-4.00000***										-3.41641***										-4.25865***										-2.66348***										0.00000				
Very good						-0.04928*										-0.18911**										-1.00000***										-0.75805***										-1.01981***										-0.70041***										0.00000**				
union							0.14072***										0.09858										0.06796										-0.22504										0.29913										0.11865										-0.00000			
 Architecture and Engineering (any type of engineer, surveyor, drafter, etc.)								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000
 Business and Financial Operations (accountant, loan officer, claims adjuster, personnel recruiter, events planner, etc. )								0.07164	0.06536	-0.01155								0.13645	0.11464	0.05101								0.51399***	0.51326***	0.89692***								0.00349	0.04084	1.34652*								0.36523	0.37852	1.32277*								0.28353	0.29514	1.48287**								-0.00000***	-0.00000	-0.00000***
 Computer and Mathematical (actuary, computer/network security, web/software developer, etc.)								0.00019	0.00147	-0.09919								0.02105	0.01682	0.08456								0.25551*	0.24964*	0.56531***								0.32597	0.33837	1.58154*								0.66500	0.67297	1.76753**								-0.04285	-0.05091	0.22853								-0.00000***	-0.00000*	-0.00000***
 Legal (attorney, paralegal, legal aide, mediator, etc.)								0.01094	0.00435	-0.05023								0.17313	0.15315	-0.50653								0.07904	0.07755	0.70723								0.01146	-0.02097	2.38416								-0.87754	-0.89808	1.51628								-0.26489	-0.34185	0.14299								-0.00000***	-0.00000	-0.00000
 Life, Physical, and Social Science (researcher/data analyst, food scientist/chemist, biologist/epidemiologist, psychologist, etc.)								0.00998	0.00588	-0.01802								0.11838	0.11470	0.06161								0.60428***	0.60618***	0.78974***								0.22921	0.20464	1.87091**								0.53723	0.52218	2.10740**								0.22726	0.18512	1.00971								-0.00000***	-0.00000	-0.00000
Arts, Design, Entertainment, Sports, and Media (graphic artist, designer, editor, actor, etc.)								-0.09005	-0.09665	-0.20078								0.06820	0.06914	-0.34078								0.29608	0.30158	0.71560***								0.15329	0.19536	1.32505								0.25013	0.29406	1.28763								0.24795	0.18769	1.31722*								-0.00000***	-0.00000	-0.00000***
Building and Grounds Cleaning/Maintenance (building cleaner, housekeeping/janitorial service, landscaper, pest control, etc.)								0.04299	0.04420	-0.10702								0.05594	0.06170	-0.25314								0.19345	0.19573	0.44373**								0.65084	0.64670	1.71757**								1.16204**	1.16819**	2.09350***								0.22532	0.22180	1.24705*								-0.00000***	-0.00000*	-0.00000***
Business and Financial Operations (accountant, loan officer, claims adjuster, personnel recruiter, events planner, etc. )								-0.35235***	-0.36640***	-0.37501***								-0.65080*	-0.62453	-1.42746***								0.86422	0.88926	2.64935***								-0.27919	0.01398	3.97667***								0.53951	0.62941	4.56953***								2.94366***	2.95436***	3.57098***								-0.00000***	0.00000	-0.00000***
Community and Social Service (counselor/social worker, probation officer, health advocate, clergy, etc.)								-0.01011	-0.01272	-0.07965								0.35325*	0.34568*	0.01943								0.08041	0.07913	0.38193								0.04506	0.05962	1.03967								-0.42886	-0.41115	0.59346								-0.01151	-0.02894	0.18185								-0.00000***	-0.00000	-0.00000***
Computer and Mathematical (actuary, computer/network security, web/software developer, etc.)								-0.14522	-0.20216*									-0.21301	-0.11943									-0.26013	-0.19142									0.61731	0.91299									-1.69921***	-1.16283*									3.06812***	2.53822***									-0.00000***	-0.00000***	
Construction and Extraction (carpenter, electrician, glazier, mason, roofer, paver, HVAC, laborer, etc.)								0.06596	0.05877	-0.10755								0.01804	0.02192	-0.28814								-0.06599	-0.05688	0.15608								-0.17783	-0.16519	0.99757								0.00450	0.03713	1.15856								-0.16635	-0.20299	0.52509								-0.00000***	-0.00000*	-0.00000***
Educational Instruction (and Library), (K-12 or preschool or adult ed teacher, college professor, library media, etc.)								0.04788	0.04754	-0.07097								0.12129	0.11811	-0.09719								0.18748	0.18292	0.28284								0.91977**	0.95075**	2.03287**								0.86056*	0.88063*	2.17173***								0.50780	0.49842	1.39841*								-0.00000***	-0.00000	-0.00000
Farming, Fishing, and Forestry (farmhand, logger, etc.)								-0.09696	-0.08896	-0.25640								0.17484	0.20050	-0.06967								0.39412	0.40023	0.49776								0.94370	0.97199	1.83527*								0.02803	0.02892	0.65504								0.62996	0.72741	1.73786*								-0.00000***	-0.00000	-0.00000
Food Preparation and Serving Related  (chef, cook, server, dishwasher, etc.)								-0.04841	-0.04609	-0.11807								0.09918	0.10951	-0.10301								0.22910	0.22946	0.48970**								-0.13404	-0.19964	0.82888								0.21758	0.17889	1.39308*								-0.17047	-0.22766	0.65882								-0.00000***	-0.00000	-0.00000***
Healthcare Practitioners and Technical (doctor, nurse, EMT, OT/PT therapist, dietician/ nutritionist, etc.)								0.00572	0.00230	-0.12253								0.21405	0.20657	-0.18147								0.37192**	0.37083**	0.68210***								0.59711	0.60664	1.90791**								0.41901	0.42923	1.61911**								0.29979	0.26919	1.59985**								-0.00000***	-0.00000	-0.00000***
Healthcare Support (rehab aide, home health aide, pharmacist assistant, orderly, massage therapist, etc.)								0.06167	0.05751	-0.03352								0.16759	0.15047	-0.28210								0.30307*	0.29676*	0.56656***								0.29185	0.28356	1.54529*								0.51411	0.52790	1.51141*								0.19608	0.15651	1.01799								-0.00000***	-0.00000*	-0.00000***
If unsure or other, briefly describe in your own words:								0.25711**	0.25052**	0.12002								0.36121	0.41912	0.49327								0.71209**	0.75114***	1.21049***								-0.81395	-0.70839	0.01492								0.72903	0.84071	1.37236								-0.06050	-0.04914	0.72502								-0.00000***	0.00000	-0.00000*
Installation, Maintenance, and Repair (auto body repair, alarm installer, airplane mechanic, utility line worker, etc.)								-0.00917	-0.00921	-0.11431								0.10647	0.12847	-0.20521								-0.01929	-0.00676	0.48958**								0.28949	0.33032	1.59453*								0.44862	0.45581	1.56673**								-0.29479	-0.29170	0.47248								-0.00000***	-0.00000	-0.00000***
Management (operations, promotion/PR, HR or sales managers, education/child care administrators, etc.)								-0.00153	-0.00396	-0.14178								0.27618*	0.26221*	-0.07256								0.37052***	0.36377***	0.72953***								0.64165*	0.63227	1.94527***								0.63560*	0.62556	1.93281***								0.34122	0.30414	1.30496**								-0.00000***	-0.00000	-0.00000***
Military Specific								0.25497*	0.25690*	0.22766								0.11400	0.11468	-0.78982								0.65366***	0.64917**	1.19378***								0.78855	0.83191	1.96231								1.91471**	1.89013**	3.92357***								1.29755**	1.29511**	0.54309								-0.00000***	0.00000	-0.00000
Office and Administrative Support (clerical/secretary, bookkeeper, tellers, court clerk, loan processor, ticket agent, etc.)								-0.02420	-0.02660	-0.16524								-0.09283	-0.11307	-0.42880								0.32412**	0.31508**	0.55778***								0.05610	0.04090	1.08008								0.18877	0.17370	1.03800								0.52019	0.49331	1.38445**								-0.00000***	-0.00000	-0.00000***
Personal Care and Service (hair/nail/makeup stylist, hotel concierge, nanny/childcare worker, personal trainer, etc.)								-0.04139	-0.04643	-0.20584								0.20618	0.17066	-0.23336								0.27615	0.26141	0.66327**								0.50696	0.52062	1.61647*								0.78661	0.74117	1.86598**								-0.09383	-0.14864	0.86416								-0.00000***	0.00000	-0.00000
Production ( food processing, machinist, assembler, welder, laundry/dry cleaning, brewmaster, etc.)								-0.23453	-0.23397	-0.45510***								0.14833	0.16061	0.01358								0.90201**	0.90874**	1.03605**								2.02178***	2.01603***	2.92921***								0.07620	0.08961	2.10156**								0.71260	0.71349	1.90223**								-0.00000***	-0.00000	-0.00000*
Production ( food processing, machinist, assembler, welder, laundry/dry cleaning, brewmaster, etc.)								-0.07920	-0.08182	-0.22364*								0.08605	0.09710	-0.18370								0.31203**	0.31826**	0.53378***								-0.06620	-0.02445	0.95629								0.60099	0.62437	1.66388**								0.20656	0.19114	0.88189								-0.00000***	-0.00000	-0.00000***
Protective Service (parking or law enforcement, security guard,  fire investigator, corrections officer, etc.)								-0.01366	-0.01266	-0.13136								0.43514*	0.42649*	0.37170								0.19825	0.19082	0.34060								-0.48361	-0.49470	0.56973								0.06678	0.06349	1.14998								-0.49394	-0.50742	0.47905								-0.00000***	-0.00000	-0.00000***
Protective Service (parking or law enforcement, security guard, fire investigator, corrections officer, etc.)								-0.04529	-0.11745									0.31688	0.30959									1.10669***	1.12893***									2.57890***	2.88080***									2.53999***	3.04508***									2.97536***	2.32455***									-0.00000	0.00000***	
Sales and Related (car salesperson, rental agent, cashier or deli (sales or supervisor), real estate broker, telemarketer, etc.)								0.03454	0.03498	-0.05722								0.17632	0.17299	-0.24662								0.41663***	0.41431***	0.66777***								0.51389	0.50112	1.59288**								0.61758	0.60293	1.87744**								0.30085	0.29197	1.35948**								-0.00000***	-0.00000	-0.00000***
Transportation and Material Moving (delivery/bus/truck driver, flight attendant, warehouse order filler/picker, car washer, etc.)								-0.07605	-0.07703	-0.22674*								-0.01635	-0.02034	-0.35242								0.24095*	0.23954	0.51496***								0.81275*	0.80945*	1.97343**								1.01828**	1.00328**	2.02563***								0.31293	0.27795	1.10867*								-0.00000***	-0.00000	-0.00000***
construction and Extraction (carpenter, electrician, glazier, mason, roofer, paver, HVAC, laborer, etc.)								0.11398	0.10207	0.02058								-0.37363	-0.41497	-0.72272*								0.37764**	0.37110*	0.41071*								0.00118	-0.07195	0.64149								0.60698	0.55483	0.97074								-0.92347	-1.02893	-0.47398								-0.00000***	0.00000	0.00000
installation, Maintenance, and Repair (auto body repair, alarm installer, airplane mechanic, utility line worker, etc.)								-0.21804***	-0.22609***	-0.37585**								-1.58422***	-1.60020***	-1.99787***								0.18114	0.18007	0.47999**								1.82323***	1.83404***	3.40154***								2.84359***	2.86543***	3.66426***								3.06255***	3.00387***	3.88049***								-0.00000***	-0.00000	-0.00000**
personal Care and Service (hair/nail/makeup stylist, hotel concierge, nanny/childcare worker, personal trainer, etc.)								0.43476***	0.42477***	0.26924*								-1.33367***	-1.15628***	-1.62632***								-1.06513***	-0.96902***	-0.68934**								-4.42148***	-3.76130***	-2.21404**								-2.80438***	-2.51380***	-0.55555								-1.86660***	-1.67569***	-0.05398								-0.00000***	0.00000***	0.00000
ransportation and Material Moving (delivery/bus/truck driver, flight attendant, warehouse order filler/picker, car washer, etc.)								0.61966***	0.66427***	0.46349***								0.95035***	1.10825***	0.70641*								-1.46924***	-1.43253***	-1.05546***								1.11062*	1.13215*	2.38290**								-4.13850***	-4.03919***	-2.91230***								-2.63936***	-2.23302***	-1.44486*								-0.00000***	-0.00000**	-0.00000***
Construction (such as buildings, roads, trade contractors)								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000								0.00000	0.00000	0.00000
Educational services (such as K-12 schools, universities, instruction or educational support)								-0.05966	-0.06148	-0.12942								-0.00531	-0.00221	-0.16968								-0.22451*	-0.21777*	-0.12799								-0.85888***	-0.87810***	-0.86276*								-0.42066	-0.44026	-0.78064*								-0.45855	-0.45727	-0.44300								-0.00000***	0.00000	0.00000
Entertainment, arts or recreation (such as fitness/rec/amusement center, spectator sports, performing arts)								0.05481	0.05220	0.02217								0.37492*	0.37669*	0.35255								-0.21780	-0.21348	-0.19831								-0.00495	-0.02346	-0.00141								-0.48573	-0.49276	-0.56470								-0.72364*	-0.73008*	-0.54202								-0.00000***	0.00000*	0.00000**
Finance or Insurance (such as banks, insurance agency/brokers, securities/credit/fund/financial advising)								0.01839	0.01792	-0.05515								0.12174	0.12983	0.06821								-0.36339***	-0.35899***	-0.43128***								-0.26467	-0.26933	-0.17938								0.00717	0.00248	0.24235								-0.41967	-0.42774	-0.38714								-0.00000***	0.00000	0.00000
Food services and drinking places (such as restaurants, fast-food, taverns)								0.02117	0.01649	-0.03744								0.17812	0.16726	-0.03646								-0.08507	-0.07888	-0.05618								-0.20823	-0.17490	-0.03409								0.20064	0.23789	0.13039								-0.64583*	-0.57713	-0.60781								-0.00000***	0.00000	0.00000**
Health care services, except hospitals (such as physician/dental/mental health office/clinic, in-home care, medical labs)								-0.02205	-0.02222	-0.04168								0.09954	0.10854	0.17144								-0.22163*	-0.21374*	-0.22330								-0.79153**	-0.79315**	-0.94093**								-0.19137	-0.20599	-0.40516								-0.79309**	-0.77156**	-1.05965**								-0.00000***	0.00000	0.00000**
Hospitality/Accommodation (such as hotels/motels, caterers)								-0.04522	-0.04400	-0.00219								0.03246	0.05557	-0.00960								-0.25944*	-0.24640*	-0.36068**								-0.25519	-0.21324	-0.34931								0.15268	0.17306	-0.28052								0.08982	0.13366	-0.24401								-0.00000***	0.00000	0.00000**
Hospitals (such as surgical, nursing/residential care facility)								-0.04102	-0.03966	-0.07865								0.13413	0.13955	0.27629								-0.34331**	-0.34097**	-0.26476								-0.99298**	-0.99611**	-0.80683								-0.50907	-0.53948	-0.61322								-1.07074***	-1.06236***	-1.13902**								-0.00000***	0.00000**	0.00000***
If not known or completely unsure, write in:								-0.11625	-0.12684	-0.04016								0.19828	0.17041	0.12364								-0.76333**	-0.76400**	-0.62529								-0.42115	-0.49640	0.02772								-1.72197*	-1.76887*	-1.17316								0.10160	0.03125	-0.22771								-0.00000**	0.00000	0.00000
Information technology or media (such as telecommunications, publishing, data or internet services, software)								0.00472	0.00207	0.01637								0.13048	0.13621	-0.11777								-0.20600*	-0.19908*	-0.30567*								-0.21120	-0.20573	-0.23007								-0.00014	0.00808	-0.03440								-0.05996	-0.05921	0.05231								-0.00000***	0.00000	0.00000
Manufacturing (such as foods/beverages, chemicals, metals, commercial equipment or computers, printing)								0.03741	0.03511	0.01939								0.17823	0.17614	0.14232								-0.11981	-0.11749	-0.13879								-0.57343**	-0.57958**	-0.39647								-0.43816	-0.43553	-0.56616								-0.48236	-0.48475	-0.37118								-0.00000***	0.00000	0.00000
Mining or Agriculture (such as coal or oil)								0.03394	0.03425	0.03112								-0.26208	-0.22421	-0.36481								-0.26403	-0.24550	-0.20680								0.22442	0.33645	0.23314								0.55677	0.66514	0.53946								0.17047	0.20791	0.22479								-0.00000***	-0.00000	-0.00000
Public administration (such as city government, armed services, or law enforcement)								-0.07799	-0.07851	-0.18559**								-0.08550	-0.07739	0.10926								-0.23252*	-0.22522	-0.34152*								-0.21369	-0.23057	0.02517								0.21936	0.21049	0.06451								-0.05040	-0.03707	-0.07342								-0.00000***	0.00000	0.00000
Real estate or rental/leasing services (such as apartment, car rental or equipment agency)								0.01993	0.01439	-0.11466								0.33783	0.36478	0.04662								-0.30701	-0.28572	-0.32105								-1.17446**	-1.11683**	0.81313								-0.97616	-0.92794	0.30524								-0.40609	-0.39216	0.01172								-0.00000***	0.00000	0.00000
Retail trade (such as clothing, grocery drug store, or supercenter)								-0.03159	-0.03276	-0.05619								0.28694*	0.27691*	0.32362*								-0.28308**	-0.28423**	-0.36241***								-0.71143**	-0.73982**	-1.03299**								-0.41123	-0.44227	-0.84530**								-0.87234***	-0.87528***	-1.23431***								-0.00000***	0.00000	0.00000***
Services -- commercial (such as waste management, security, landscaping or building cleaning services)								-0.08895	-0.09448	-0.11116								-0.00167	0.01008	-0.01006								-0.26560*	-0.25475*	-0.29068*								-0.24537	-0.20424	-0.31713								-0.04517	-0.03092	-0.35780								-0.11825	-0.13637	-0.45251								-0.00000***	0.00000*	0.00000**
Services -- personal care, repair/maintenance, car/household (such as hair/nail salon; laundry, parking, housecleaning)								-0.04291	-0.04293	-0.04294								0.00023	0.01901	-0.04821								-0.06435	-0.04910	-0.33658**								-0.08624	-0.11768	-0.65791								0.05601	0.05153	-0.46229								-0.00118	0.02365	-0.37348								-0.00000***	0.00000	0.00000**
Services -- professional or technical support (such as legal services, consulting)								-0.02971	-0.03041	-0.07973								0.19339	0.20237	0.27618								-0.38172***	-0.37539***	-0.49107***								-1.00931***	-1.02158***	-1.26046**								-0.79316**	-0.80343**	-0.87540								-0.39038	-0.40203	-0.39577								-0.00000***	0.00000	0.00000*
Social assistance or membership groups (such as childcare services, non-profit, or civic or religious organizations)								-0.02189	-0.02493	-0.07085								-0.28693*	-0.27993*	-0.37524								-0.29774**	-0.29141**	-0.22423								-0.10294	-0.09935	-0.23399								0.40087	0.40610	0.35103								0.19266	0.17964	0.02425								-0.00000***	0.00000	0.00000
Temporary help, staffing or employment agency								-0.02177	-0.02890	-0.06075								-0.25480	-0.22109	-0.16781								-0.25995	-0.23768	-0.22838								0.10848	0.25247	0.30560								0.42626	0.50001	0.23227								-0.49272	-0.51276	-0.47627								-0.00000***	0.00000***	0.00000***
Transportation or warehousing (such as freight trucking, postal delivery, taxi, ride hailing, airline/rail, storage or fulfillment center)								-0.02550	-0.02585	-0.03635								0.02835	0.04828	0.03575								-0.14414	-0.13074	-0.24191*								-0.67231**	-0.66431**	-0.61923								-0.20594	-0.19412	-0.30862								-0.59449*	-0.56821	-0.62692								-0.00000***	0.00000	0.00000**
Utilities (such as electric or water company)								-0.10779	-0.11072	-0.20859*								0.41651	0.41784	0.83161								-0.12411	-0.12187	-0.10853								-0.17001	-0.13081	-0.24188								0.92085	0.92941	0.43996								0.61017	0.60783	0.28792								-0.00000**	0.00000	0.00000
Wholesale trade (such as merchant supplies or electronics)								-0.06042	-0.06367	-0.08558								-0.02779	-0.00757	0.33507								-0.23618	-0.22264	-0.26709								-0.45248	-0.42481	-0.17686								-0.01053	0.01310	-0.08690								-0.36747	-0.37868	-0.70925								-0.00000***	0.00000*	0.00000***
health care services, except hospitals (such as physician/dental/mental health office/clinic, in-home care, medical labs)								0.60024***	0.63440***	0.63584***								0.38939	0.50122*	0.59587*								-0.62749***	-0.60893***	-0.71597***								0.54729	0.58972	0.38104								0.23527	0.28616	0.57351								-3.92241***	-3.60653***	-3.42779***								-0.00000***	0.00000*	0.00000***
transportation or warehousing (such as freight trucking, postal delivery, taxi, ride hailing, airline/rail, storage or fulfillment center)								-0.26852***	-0.23921***	-0.25339***								-1.08338***	-0.98426***	-0.87009***								-0.53424***	-0.51315***	-0.64975***								0.22326	0.21775	0.22676								-2.42356***	-2.35601***	-2.39239***								-3.79613***	-3.46625***	-3.31086***								-0.00000***	0.00000	0.00000
other way								0.12019**	0.11590**	0.04264								0.08254	0.14902	-0.04706								-0.13268	-0.10080	-0.30712*								-0.36570	-0.19218	-0.65730*								-0.27882	-0.13411	-0.80912*								-0.70049**	-0.70917**	-0.63052								0.00000	0.00000*	0.00000
hourly								0.03322	0.03500	-0.00636								-0.08696	-0.07305	-0.33572***								-0.08562*	-0.08073	-0.31786***								-0.20427	-0.20784	-0.69994***								-0.19319	-0.19517	-0.67329***								-0.41226***	-0.41735***	-0.72830***								0.00000	0.00000***	0.00000**
fewMorHrs=1									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
fewMorHrs=2									-0.02008	-0.19571									-0.43973	-0.16280									-0.13700	0.00802									0.43253	-0.14329									0.88233	-0.07296									2.63322***	2.57908***									1.00000***	1.00000***
fewMorHrs=3									0.01101	-0.10195									-0.31984	0.06839									-0.08937	0.11125									-0.01242	-0.84449									0.84043	-0.11841									1.64261**	0.72337									2.00000***	2.00000***
jobTyp=1									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
jobTyp=2									0.15537	-0.08674									0.16679	0.32778									-0.12059	0.06317									0.71245	0.63744									0.59374	0.00401									1.02494	0.81326									-0.00000***	-0.00000***
jobTyp=3									0.09673	-0.01318									0.44664	0.86046**									0.14392	0.34047									0.65039	-0.03708									1.14070*	0.42703									1.12828*	0.94584									-0.00000***	-0.00000***
fewMorHrs=1 # jobTyp=1									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
fewMorHrs=1 # jobTyp=2									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
fewMorHrs=1 # jobTyp=3									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
fewMorHrs=2 # jobTyp=1									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
fewMorHrs=2 # jobTyp=2									-0.26185*	-0.00054									-0.10744	-0.23127									0.17265	0.05888									0.06920	0.01262									0.46634	1.27150									-1.63995*	-1.66567**									0.00000***	0.00000***
fewMorHrs=2 # jobTyp=3									-0.16425	-0.03810									-0.29252	-0.48001									-0.04397	-0.20964									-0.13331	0.30619									-0.43959	0.35779									-1.73046**	-2.11257***									0.00000***	0.00000***
fewMorHrs=3 # jobTyp=1									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000									0.00000	0.00000
